 ****************** Start US v. 1.94 at 2014-11-25 22:45:33 ******************
 
 APS: DLSR H7BA 60 pm, Nb=48, coupling 100%, LS-337, M. Borland, 10/01/2013
 energy   6.000 GeV   current 200.0 mA   sige   0.0010000
 sigx    0.0074  mm   sigy   0.0109 mm   sigx1  0.0057 mr   sigy1  0.0038 mr
 period   2.700  cm   N          86      Kx      0.000      Ky      2.282
 emin    1000.0  eV   emax  50000.0 eV   ne      10000
 d       30.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      0.000  mm   yps     0.000 mm   nxp         0      nyp         0
 mode         2       method      4      iharm       0   
 nphi        20       nalpha     40      calpha2   2.0
 nomega      64       comega    8.0      nsigma      4
 
 e1      3513.5  eV   l1      3.529  A
 ptot    8666.6   W   pd      239.5  W/mm^2
 
 
 Irradiance for   0.000 mm,  0.000 mm  @  30.000 m (ph/s/mm^2/0.1%bw):
 Integrated flux  density  7.430E+16 ph/s/mm^2
 Integrated power density      168.2 W/mm^2
 Contributing harmonics    1 to   14
 
 Energy(eV)   Irradiance          p1      p2      p3      p4
   2656.200   0.000000E+00     0.000   0.000   0.000   0.000
   2661.100   0.000000E+00     0.000   0.000   0.000   0.000
   2666.000   0.000000E+00     0.000   0.000   0.000   0.000
   2670.900   0.000000E+00     0.000   0.000   0.000   0.000
   2675.800   0.000000E+00     0.000   0.000   0.000   0.000
   2680.700   0.000000E+00     0.000   0.000   0.000   0.000
   2685.600   0.000000E+00     0.000   0.000   0.000   0.000
   2690.500   0.000000E+00     0.000   0.000   0.000   0.000
   2695.400   0.000000E+00     0.000   0.000   0.000   0.000
   2700.300   0.000000E+00     0.000   0.000   0.000   0.000
   2705.200   0.000000E+00     0.000   0.000   0.000   0.000
   2710.100   0.000000E+00     0.000   0.000   0.000   0.000
   2715.000   0.000000E+00     0.000   0.000   0.000   0.000
   2719.900   0.000000E+00     0.000   0.000   0.000   0.000
   2724.800   0.000000E+00     0.000   0.000   0.000   0.000
   2729.700   0.000000E+00     0.000   0.000   0.000   0.000
   2734.600   0.000000E+00     0.000   0.000   0.000   0.000
   2739.500   0.000000E+00     0.000   0.000   0.000   0.000
   2744.400   0.000000E+00     0.000   0.000   0.000   0.000
   2749.300   0.000000E+00     0.000   0.000   0.000   0.000
   2754.200   0.000000E+00     0.000   0.000   0.000   0.000
   2759.100   0.000000E+00     0.000   0.000   0.000   0.000
   2764.000   0.000000E+00     0.000   0.000   0.000   0.000
   2768.900   0.000000E+00     0.000   0.000   0.000   0.000
   2773.800   0.000000E+00     0.000   0.000   0.000   0.000
   2778.700   0.000000E+00     0.000   0.000   0.000   0.000
   2783.600   0.000000E+00     0.000   0.000   0.000   0.000
   2788.500   0.000000E+00     0.000   0.000   0.000   0.000
   2793.400   0.000000E+00     0.000   0.000   0.000   0.000
   2798.300   0.000000E+00     0.000   0.000   0.000   0.000
   2803.200   0.000000E+00     0.000   0.000   0.000   0.000
   2808.100   0.000000E+00     0.000   0.000   0.000   0.000
   2813.000   0.000000E+00     0.000   0.000   0.000   0.000
   2817.900   0.000000E+00     0.000   0.000   0.000   0.000
   2822.800   0.000000E+00     0.000   0.000   0.000   0.000
   2827.700   0.000000E+00     0.000   0.000   0.000   0.000
   2832.600   0.000000E+00     0.000   0.000   0.000   0.000
   2837.500   0.000000E+00     0.000   0.000   0.000   0.000
   2842.400   0.000000E+00     0.000   0.000   0.000   0.000
   2847.300   0.000000E+00     0.000   0.000   0.000   0.000
   2852.200   0.000000E+00     0.000   0.000   0.000   0.000
   2857.100   0.000000E+00     0.000   0.000   0.000   0.000
   2862.000   0.000000E+00     0.000   0.000   0.000   0.000
   2866.900   0.000000E+00     0.000   0.000   0.000   0.000
   2871.800   0.000000E+00     0.000   0.000   0.000   0.000
   2876.700   0.000000E+00     0.000   0.000   0.000   0.000
   2881.600   0.000000E+00     0.000   0.000   0.000   0.000
   2886.500   0.000000E+00     0.000   0.000   0.000   0.000
   2891.400   0.000000E+00     0.000   0.000   0.000   0.000
   2896.300   0.000000E+00     0.000   0.000   0.000   0.000
   2901.200   0.000000E+00     0.000   0.000   0.000   0.000
   2906.100   0.000000E+00     0.000   0.000   0.000   0.000
   2911.000   0.000000E+00     0.000   0.000   0.000   0.000
   2915.900   0.000000E+00     0.000   0.000   0.000   0.000
   2920.800   0.000000E+00     0.000   0.000   0.000   0.000
   2925.700   0.000000E+00     0.000   0.000   0.000   0.000
